mscn_sol,GSFC
mscn,1854
location,80
basin,1005
mscn_area,12373.54
lat_center,36
lon_center,-115.6701031
lat_span,1
lon_span,1.2371134
Solution,GSFC RL06v02 Mascons
Citation,"Loomis, B.D., Luthcke, S.B. & Sabaka, T.J. (2019) Regularization and error characterization of GRACE mascons. J Geod 93, 1381–1398. https://doi.org/10.1007/s00190-019-01252-y"
Data Portal,https://ccar.colorado.edu/grace/

year,cmwe
2002.296,3.407
2002.359,0.908
2002.627,-2.239
2002.709,-5.615
2002.794,-4.894
2002.876,-3.46
2002.961,-1.005
2003.046,0.452
2003.125,4.691
2003.207,4.506
2003.29,3.68
2003.361,-0.152
2003.541,-4.035
2003.626,-5.609
2003.708,-7.207
2003.793,-8.439
2003.875,-5.85
2003.96,-3.692
2004.021,-0.162
2004.13,0.028
2004.209,1.505
2004.292,1.277
2004.376,-1.818
2004.459,-5.914
2004.543,-6.775
2004.628,-7.603
2004.71,-8.442
2004.795,-7.304
2004.877,-2.268
2004.962,-0.094
2005.047,8.452
2005.127,13.214
2005.209,17.143
2005.291,18.171
2005.376,13.637
2005.458,8.387
2005.543,7.292
2005.628,8.113
2005.71,1.276
2005.795,3.626
2005.877,0.491
2005.962,2.565
2006.047,4.876
2006.126,3.883
2006.208,5.4
2006.29,8.087
2006.375,5.518
2006.457,3.867
2006.542,0.985
2006.627,3.448
2006.709,-1.005
2006.794,-1.72
2006.876,-1.688
2006.961,1.421
2007.046,2.056
2007.125,2.471
2007.207,2.919
2007.29,1.395
2007.374,0.97
2007.457,-0.276
2007.541,-3.882
2007.626,-4.691
2007.708,-6.099
2007.793,-6.383
2007.875,-6.233
2007.96,-3.191
2008.045,-0.057
2008.127,3.077
2008.209,4.212
2008.292,2.566
2008.376,-0.243
2008.459,-3.134
2008.543,-3.765
2008.628,-4.729
2008.71,-5.146
2008.795,-6.669
2008.877,-5.731
2008.962,-4.656
2009.047,-0.779
2009.127,1.076
2009.209,1.537
2009.291,-1.142
2009.376,-1.86
2009.458,-2.518
2009.543,-5.806
2009.628,-8.345
2009.71,-9.396
2009.795,-8.962
2009.877,-10.402
2009.962,-6.057
2010.047,-3.571
2010.126,3.06
2010.208,4.638
2010.29,4.124
2010.375,2.424
2010.457,0.015
2010.542,-3.125
2010.627,-5.197
2010.709,-7.705
2010.794,-6.254
2010.876,-4.282
2010.956,-0.719
2011.136,2.808
2011.207,5.734
2011.29,6.295
2011.374,3.523
2011.547,-1.456
2011.626,-1.397
2011.708,-3.971
2011.782,-4.61
2011.845,-2.868
2011.982,-2.313
2012.051,-2.15
2012.127,-1.919
2012.201,-1.053
2012.267,-0.626
2012.459,-4.966
2012.543,-7.211
2012.628,-7.021
2012.705,-9.334
2012.886,-9.893
2012.962,-5.382
2013.047,-2.418
2013.124,-1.998
2013.305,-6.063
2013.376,-7.252
2013.458,-9.975
2013.543,-10.194
2013.795,-12.167
2013.877,-12.997
2013.962,-9.357
2014.025,-9.706
2014.211,-7.205
2014.29,-7.757
2014.375,-10.349
2014.449,-11.056
2014.627,-15.986
2014.709,-15.554
2014.794,-16.345
2014.876,-16.135
2015.062,-12.408
2015.125,-11.229
2015.207,-11.846
2015.279,-13.788
2015.333,-11.847
2015.539,-16.063
2015.626,-15.777
2015.706,-17.545
2015.977,-14.464
2016.045,-13.304
2016.122,-9.984
2016.209,-8.686
2016.385,-13.618
2016.459,-14.891
2016.541,-17.479
2016.642,-16.926
2016.91,-15.896
2016.984,-11.391
2017.058,-6.841
2017.247,-6.638
2017.316,-6.49
2017.37,-9.224
2017.444,-10.46
2018.457,-17.352
2018.523,-19.195
2018.835,-21.452
2018.89,-22.061
2018.961,-19.63
2019.038,-14.752
2019.117,-13.435
2019.207,-5.711
2019.29,-9.728
2019.374,-10.884
2019.457,-11.887
2019.541,-15.039
2019.626,-17.069
2019.708,-18.48
2019.793,-21.919
2019.875,-21.665
2019.96,-14.678
2020.045,-12.128
2020.127,-13.507
2020.209,-12.621
2020.292,-11.699
2020.376,-13.776
2020.459,-15.726
2020.543,-19.23
2020.628,-21.361
2020.71,-24.63
2020.795,-23.705
2020.877,-21.86
2020.962,-23.728
2021.047,-22.63
2021.127,-21.6
2021.209,-20.317
2021.291,-21.36
2021.376,-20.604
2021.458,-23.721
2021.543,-24.349
2021.628,-26.316
2021.71,-26.54
2021.795,-25.907
2021.877,-26.59
2021.962,-24.896
2022.047,-20.59
2022.126,-18.813
2022.208,-21.606
2022.29,-20.334
2022.375,-22.532
2022.457,-25.588
2022.542,-27.283
2022.627,-25.467
2022.709,-25.204
2022.794,-29.398
2022.876,-27.344
2022.961,-25.331
2023.046,-16.016
2023.125,-12.657
2023.207,-9.174
2023.29,-7.448
2023.374,-12.671
2023.457,-16.074
2023.541,-18.658
2023.626,-17.931
2023.708,-20.824
