mscn_sol,GSFC
mscn,1924
location,80
basin,1007
mscn_area,12402.09
lat_center,35
lon_center,-114.48979589999999
lat_span,1
lon_span,1.2244898
Solution,GSFC RL06v02 Mascons
Citation,"Loomis, B.D., Luthcke, S.B. & Sabaka, T.J. (2019) Regularization and error characterization of GRACE mascons. J Geod 93, 1381–1398. https://doi.org/10.1007/s00190-019-01252-y"
Data Portal,https://ccar.colorado.edu/grace/

year,cmwe
2002.296,1.456
2002.359,1.636
2002.627,-2.81
2002.709,-6.417
2002.794,-4.854
2002.876,-3.999
2002.961,-1.234
2003.046,-1.323
2003.125,3.198
2003.207,4.027
2003.29,3.428
2003.361,0.037
2003.541,-4.707
2003.626,-6.019
2003.708,-5.466
2003.793,-7.416
2003.875,-5.068
2003.96,-3.625
2004.021,-2.088
2004.13,-1.269
2004.209,0.224
2004.292,1.437
2004.376,-2.136
2004.459,-5.801
2004.543,-5.477
2004.628,-6.749
2004.71,-7.661
2004.795,-6.669
2004.877,-2.175
2004.962,0.304
2005.047,8.366
2005.127,12.261
2005.209,15.407
2005.291,14.52
2005.376,8.677
2005.458,5.698
2005.543,4.933
2005.628,6.125
2005.71,0.498
2005.795,0.937
2005.877,0.67
2005.962,1.699
2006.047,4.009
2006.126,2.428
2006.208,3.622
2006.29,5.656
2006.375,3.405
2006.457,1.866
2006.542,-0.442
2006.627,2.507
2006.709,-0.672
2006.794,-1.369
2006.876,-1.053
2006.961,1.792
2007.046,2.234
2007.125,2.351
2007.207,2.458
2007.29,1.021
2007.374,1.2
2007.457,-0.619
2007.541,-3.605
2007.626,-3.684
2007.708,-4.81
2007.793,-5.112
2007.875,-4.92
2007.96,-1.567
2008.045,0.652
2008.127,3.442
2008.209,4.202
2008.292,2.537
2008.376,-0.316
2008.459,-2.871
2008.543,-2.618
2008.628,-3.012
2008.71,-3.268
2008.795,-4.657
2008.877,-3.83
2008.962,-2.249
2009.047,1.542
2009.127,2.212
2009.209,1.803
2009.291,-0.717
2009.376,-0.815
2009.458,-2.042
2009.543,-4.384
2009.628,-7.156
2009.71,-7.634
2009.795,-7.826
2009.877,-7.991
2009.962,-3.429
2010.047,-1.375
2010.126,4.348
2010.208,6.23
2010.29,4.675
2010.375,3.174
2010.457,0.885
2010.542,-1.606
2010.627,-2.601
2010.709,-5.078
2010.794,-3.578
2010.876,-2.244
2010.956,0.856
2011.136,2.761
2011.207,5.276
2011.29,5.448
2011.374,2.969
2011.547,-0.527
2011.626,-1.188
2011.708,-3.554
2011.782,-3.964
2011.845,-3.48
2011.982,-0.47
2012.051,1.922
2012.127,-0.134
2012.201,0.184
2012.267,0.229
2012.459,-4.191
2012.543,-6.334
2012.628,-5.752
2012.705,-7.207
2012.886,-6.712
2012.962,-3.514
2013.047,-2.806
2013.124,-0.852
2013.305,-4.482
2013.376,-5.456
2013.458,-8.123
2013.543,-8.115
2013.795,-8.867
2013.877,-9.655
2013.962,-5.69
2014.025,-6.14
2014.211,-4.857
2014.29,-5.174
2014.375,-8.036
2014.449,-8.784
2014.627,-12.87
2014.709,-11.648
2014.794,-12.218
2014.876,-11.748
2015.062,-8.687
2015.125,-7.65
2015.207,-7.073
2015.279,-8.25
2015.333,-8.34
2015.539,-12.139
2015.626,-11.356
2015.706,-13.066
2015.977,-9.502
2016.045,-7.472
2016.122,-6.772
2016.209,-7.136
2016.385,-10.839
2016.459,-12.065
2016.541,-13.158
2016.642,-12.4
2016.91,-12.215
2016.984,-6.773
2017.058,-3.348
2017.247,-4.378
2017.316,-3.735
2017.37,-6.52
2017.444,-7.82
2018.457,-14.512
2018.523,-16.133
2018.835,-16.053
2018.89,-16.61
2018.961,-14.544
2019.038,-9.574
2019.117,-8.561
2019.207,-2.746
2019.29,-5.974
2019.374,-7.424
2019.457,-9.101
2019.541,-11.182
2019.626,-13.384
2019.708,-13.372
2019.793,-16.632
2019.875,-15.918
2019.96,-9.565
2020.045,-6.958
2020.127,-8.442
2020.209,-7.958
2020.292,-7.661
2020.376,-9.466
2020.459,-11.753
2020.543,-14.66
2020.628,-17.19
2020.71,-19.596
2020.795,-19.128
2020.877,-17.283
2020.962,-18.471
2021.047,-17.713
2021.127,-16.102
2021.209,-15.435
2021.291,-16.695
2021.376,-15.741
2021.458,-19.066
2021.543,-18.862
2021.628,-19.075
2021.71,-20.078
2021.795,-19.065
2021.877,-20.49
2021.962,-18.855
2022.047,-15.064
2022.126,-13.399
2022.208,-17.06
2022.29,-15.54
2022.375,-17.487
2022.457,-20.319
2022.542,-21.32
2022.627,-19.08
2022.709,-19.368
2022.794,-22.433
2022.876,-20.329
2022.961,-18.301
2023.046,-11.028
2023.125,-7.48
2023.207,-6.841
2023.29,-5.137
2023.374,-9.558
2023.457,-11.956
2023.541,-14.461
2023.626,-15.431
2023.708,-16.454
