mscn_sol,GSFC
mscn,1859
location,80
basin,1005
mscn_area,12402.09
lat_center,35
lon_center,-115.7142857
lat_span,1
lon_span,1.2244898
Solution,GSFC RL06v02 Mascons
Citation,"Loomis, B.D., Luthcke, S.B. & Sabaka, T.J. (2019) Regularization and error characterization of GRACE mascons. J Geod 93, 1381–1398. https://doi.org/10.1007/s00190-019-01252-y"
Data Portal,https://ccar.colorado.edu/grace/

year,cmwe
2002.296,3.876
2002.359,2.874
2002.627,-1.364
2002.709,-4.436
2002.794,-3.727
2002.876,-2.595
2002.961,0.528
2003.046,1.423
2003.125,5.919
2003.207,6.057
2003.29,5.313
2003.361,1.297
2003.541,-3.664
2003.626,-4.961
2003.708,-6.707
2003.793,-6.821
2003.875,-4.427
2003.96,-2.499
2004.021,-0.595
2004.13,0.561
2004.209,2.712
2004.292,2.817
2004.376,-0.507
2004.459,-5.501
2004.543,-6.391
2004.628,-5.962
2004.71,-6.896
2004.795,-6.725
2004.877,-1.901
2004.962,0.855
2005.047,9.728
2005.127,14.392
2005.209,18.238
2005.291,16.506
2005.376,9.301
2005.458,6.544
2005.543,7.007
2005.628,7.365
2005.71,0.387
2005.795,1.826
2005.877,0.139
2005.962,2.797
2006.047,5.139
2006.126,4.172
2006.208,5.534
2006.29,7.356
2006.375,4.974
2006.457,3.193
2006.542,0.336
2006.627,2.606
2006.709,-0.958
2006.794,-2.028
2006.876,-1.649
2006.961,1.943
2007.046,2.157
2007.125,2.979
2007.207,3.075
2007.29,1.308
2007.374,1.096
2007.457,-0.785
2007.541,-4.25
2007.626,-5.041
2007.708,-5.894
2007.793,-6.306
2007.875,-5.849
2007.96,-2.48
2008.045,0.4
2008.127,3.315
2008.209,4.47
2008.292,2.665
2008.376,-0.598
2008.459,-3.835
2008.543,-3.902
2008.628,-4.628
2008.71,-4.969
2008.795,-6.575
2008.877,-5.362
2008.962,-4.015
2009.047,0.306
2009.127,1.761
2009.209,1.571
2009.291,-1.447
2009.376,-2.265
2009.458,-3.664
2009.543,-6.506
2009.628,-8.812
2009.71,-9.598
2009.795,-9.761
2009.877,-10.351
2009.962,-5.525
2010.047,-3.38
2010.126,3.847
2010.208,5.114
2010.29,3.239
2010.375,1.747
2010.457,-0.514
2010.542,-3.845
2010.627,-5.346
2010.709,-7.829
2010.794,-6.388
2010.876,-4.6
2010.956,-0.957
2011.136,1.626
2011.207,4.696
2011.29,5.257
2011.374,2.007
2011.547,-2.792
2011.626,-3.313
2011.708,-5.101
2011.782,-6.097
2011.845,-5.506
2011.982,-2.685
2012.051,-1.758
2012.127,-1.708
2012.201,-0.958
2012.267,-1.24
2012.459,-6.27
2012.543,-8.306
2012.628,-8.132
2012.705,-9.96
2012.886,-9.555
2012.962,-6.156
2013.047,-4.207
2013.124,-2.411
2013.305,-7.272
2013.376,-8.049
2013.458,-10.971
2013.543,-10.571
2013.795,-12.949
2013.877,-13.297
2013.962,-9.202
2014.025,-9.566
2014.211,-7.323
2014.29,-7.87
2014.375,-11.171
2014.449,-12.309
2014.627,-16.977
2014.709,-16.159
2014.794,-16.54
2014.876,-16.27
2015.062,-12.424
2015.125,-10.67
2015.207,-10.839
2015.279,-13.551
2015.333,-12.018
2015.539,-16.831
2015.626,-16.256
2015.706,-17.582
2015.977,-14.529
2016.045,-14.422
2016.122,-11.827
2016.209,-10.969
2016.385,-15.825
2016.459,-17.28
2016.541,-19.601
2016.642,-18.006
2016.91,-16.655
2016.984,-11.612
2017.058,-7.837
2017.247,-8.315
2017.316,-8.613
2017.37,-10.948
2017.444,-12.461
2018.457,-19.493
2018.523,-21.319
2018.835,-23.087
2018.89,-23.182
2018.961,-20.788
2019.038,-15.573
2019.117,-13.882
2019.207,-7.264
2019.29,-11.313
2019.374,-13.432
2019.457,-14.664
2019.541,-17.292
2019.626,-19.518
2019.708,-20.317
2019.793,-23.688
2019.875,-23.11
2019.96,-15.997
2020.045,-13.172
2020.127,-14.652
2020.209,-13.696
2020.292,-12.938
2020.376,-15.221
2020.459,-17.919
2020.543,-21.468
2020.628,-24.39
2020.71,-27.196
2020.795,-25.105
2020.877,-23.229
2020.962,-24.991
2021.047,-23.664
2021.127,-22.83
2021.209,-21.59
2021.291,-22.568
2021.376,-21.99
2021.458,-26.358
2021.543,-26.23
2021.628,-27.805
2021.71,-27.914
2021.795,-26.848
2021.877,-28.366
2021.962,-26.284
2022.047,-21.688
2022.126,-19.835
2022.208,-22.521
2022.29,-21.966
2022.375,-24.599
2022.457,-27.705
2022.542,-29.121
2022.627,-27.273
2022.709,-26.374
2022.794,-30.564
2022.876,-28.371
2022.961,-26.386
2023.046,-17.978
2023.125,-14.389
2023.207,-12.897
2023.29,-12.236
2023.374,-17.034
2023.457,-19.407
2023.541,-21.696
2023.626,-23.127
2023.708,-24.353
