mscn_sol,GSFC
mscn,1925
location,80
basin,1007
mscn_area,12402.09
lat_center,35
lon_center,-113.2653061
lat_span,1
lon_span,1.2244898
Solution,GSFC RL06v02 Mascons
Citation,"Loomis, B.D., Luthcke, S.B. & Sabaka, T.J. (2019) Regularization and error characterization of GRACE mascons. J Geod 93, 1381–1398. https://doi.org/10.1007/s00190-019-01252-y"
Data Portal,https://ccar.colorado.edu/grace/

year,cmwe
2002.296,-0.604
2002.359,0.11
2002.627,-4.023
2002.709,-7.376
2002.794,-5.779
2002.876,-4.921
2002.961,-2.6
2003.046,-3.632
2003.125,0.752
2003.207,2.416
2003.29,1.369
2003.361,-0.64
2003.541,-5.609
2003.626,-6.817
2003.708,-4.759
2003.793,-7.094
2003.875,-5.317
2003.96,-4.514
2004.021,-3.511
2004.13,-2.955
2004.209,-1.834
2004.292,0.147
2004.376,-3.319
2004.459,-6.143
2004.543,-5.253
2004.628,-7.122
2004.71,-7.923
2004.795,-6.406
2004.877,-2.224
2004.962,-0.017
2005.047,6.883
2005.127,10.321
2005.209,12.985
2005.291,11.829
2005.376,8.431
2005.458,4.882
2005.543,2.91
2005.628,4.896
2005.71,0.638
2005.795,0.309
2005.877,1.164
2005.962,0.659
2006.047,2.851
2006.126,0.923
2006.208,1.727
2006.29,3.817
2006.375,1.725
2006.457,0.598
2006.542,-1.057
2006.627,1.735
2006.709,-0.358
2006.794,-0.546
2006.876,-0.365
2006.961,1.676
2007.046,2.227
2007.125,1.76
2007.207,2.018
2007.29,1.059
2007.374,1.072
2007.457,-0.464
2007.541,-2.863
2007.626,-2.295
2007.708,-3.674
2007.793,-3.866
2007.875,-4.021
2007.96,-0.627
2008.045,0.807
2008.127,3.572
2008.209,4.027
2008.292,2.237
2008.376,0.015
2008.459,-1.892
2008.543,-1.65
2008.628,-1.492
2008.71,-1.634
2008.795,-2.809
2008.877,-2.26
2008.962,-0.675
2009.047,2.807
2009.127,2.583
2009.209,1.986
2009.291,-0.09
2009.376,0.446
2009.458,-0.819
2009.543,-2.528
2009.628,-5.583
2009.71,-5.738
2009.795,-6.314
2009.877,-5.848
2009.962,-1.544
2010.047,0.389
2010.126,4.93
2010.208,7.389
2010.29,6.099
2010.375,4.299
2010.457,2.268
2010.542,0.432
2010.627,0.128
2010.709,-2.09
2010.794,-0.585
2010.876,-0.083
2010.956,2.684
2011.136,3.617
2011.207,5.651
2011.29,5.19
2011.374,3.409
2011.547,1.479
2011.626,0.68
2011.708,-1.462
2011.782,-1.829
2011.845,-1.672
2011.982,1.62
2012.051,3.772
2012.127,1.192
2012.201,1.086
2012.267,1.375
2012.459,-2.348
2012.543,-4.339
2012.628,-3.668
2012.705,-4.649
2012.886,-4.162
2012.962,-1.594
2013.047,-1.842
2013.124,0.118
2013.305,-2.338
2013.376,-3.38
2013.458,-5.72
2013.543,-5.758
2013.795,-4.828
2013.877,-6.346
2013.962,-2.64
2014.025,-3.235
2014.211,-2.866
2014.29,-3.016
2014.375,-5.413
2014.449,-5.83
2014.627,-9.092
2014.709,-7.526
2014.794,-8.321
2014.876,-7.525
2015.062,-5.347
2015.125,-4.79
2015.207,-3.347
2015.279,-2.865
2015.333,-5.277
2015.539,-7.778
2015.626,-7.028
2015.706,-9.332
2015.977,-4.819
2016.045,-1.837
2016.122,-2.145
2016.209,-2.942
2016.385,-6.425
2016.459,-7.351
2016.541,-7.78
2016.642,-7.383
2016.91,-8.649
2016.984,-3.037
2017.058,0.422
2017.247,-0.967
2017.316,0.375
2017.37,-2.678
2017.444,-3.433
2018.457,-10.118
2018.523,-11.286
2018.835,-9.406
2018.89,-10.358
2018.961,-8.867
2019.038,-4.266
2019.117,-3.512
2019.207,1.327
2019.29,-1.348
2019.374,-1.989
2019.457,-4.182
2019.541,-5.605
2019.626,-7.762
2019.708,-7.233
2019.793,-10.265
2019.875,-9.603
2019.96,-3.901
2020.045,-1.687
2020.127,-2.786
2020.209,-2.82
2020.292,-2.857
2020.376,-4.487
2020.459,-6.328
2020.543,-8.649
2020.628,-10.339
2020.71,-12.437
2020.795,-13.111
2020.877,-12.046
2020.962,-12.454
2021.047,-12.292
2021.127,-10.23
2021.209,-10.231
2021.291,-11.547
2021.376,-10.382
2021.458,-12.392
2021.543,-12.283
2021.628,-11.018
2021.71,-13.047
2021.795,-12.212
2021.877,-13.428
2021.962,-12.288
2022.047,-9.227
2022.126,-7.92
2022.208,-11.983
2022.29,-10.099
2022.375,-11.21
2022.457,-13.759
2022.542,-14.24
2022.627,-12.314
2022.709,-13.112
2022.794,-14.942
2022.876,-13.139
2022.961,-11.177
2023.046,-5.041
2023.125,-1.669
2023.207,-1.027
2023.29,0.425
2023.374,-2.816
2023.457,-5.307
2023.541,-8.149
2023.626,-8.893
2023.708,-9.544
