mscn_sol,GSFC
mscn,1895
location,80
basin,1006
mscn_area,12383.61
lat_center,37
lon_center,-116.02787459999999
lat_span,1
lon_span,1.2543554
Solution,GSFC RL06v02 Mascons
Citation,"Loomis, B.D., Luthcke, S.B. & Sabaka, T.J. (2019) Regularization and error characterization of GRACE mascons. J Geod 93, 1381–1398. https://doi.org/10.1007/s00190-019-01252-y"
Data Portal,https://ccar.colorado.edu/grace/

year,cmwe
2002.296,4.033
2002.359,0.001
2002.627,-2.791
2002.709,-5.781
2002.794,-5.521
2002.876,-3.947
2002.961,-1.867
2003.046,0.241
2003.125,4.465
2003.207,3.137
2003.29,2.409
2003.361,-0.179
2003.541,-3.912
2003.626,-5.476
2003.708,-7.239
2003.793,-8.705
2003.875,-6.776
2003.96,-3.855
2004.021,0.63
2004.13,1.009
2004.209,2.417
2004.292,1.315
2004.376,-1.862
2004.459,-5.09
2004.543,-6.824
2004.628,-8.287
2004.71,-9.377
2004.795,-7.748
2004.877,-2.553
2004.962,-0.743
2005.047,7.066
2005.127,11.461
2005.209,14.538
2005.291,16.84
2005.376,16.134
2005.458,9.521
2005.543,6.459
2005.628,6.356
2005.71,0.002
2005.795,2.13
2005.877,-1.043
2005.962,2.326
2006.047,5.133
2006.126,4.301
2006.208,6.137
2006.29,9.825
2006.375,7.104
2006.457,5.519
2006.542,2.14
2006.627,3.776
2006.709,-1.06
2006.794,-1.239
2006.876,-1.576
2006.961,1.302
2007.046,2.117
2007.125,2.434
2007.207,3.286
2007.29,2.066
2007.374,1.353
2007.457,0.485
2007.541,-3.525
2007.626,-4.587
2007.708,-6.277
2007.793,-6.617
2007.875,-6.449
2007.96,-3.782
2008.045,-0.271
2008.127,3.041
2008.209,4.456
2008.292,2.71
2008.376,0.248
2008.459,-2.526
2008.543,-3.831
2008.628,-4.926
2008.71,-5.362
2008.795,-7.018
2008.877,-6.121
2008.962,-5.154
2009.047,-1.884
2009.127,0.648
2009.209,1.644
2009.291,-0.651
2009.376,-1.457
2009.458,-1.768
2009.543,-5.109
2009.628,-7.985
2009.71,-9.351
2009.795,-8.746
2009.877,-10.395
2009.962,-6.737
2010.047,-3.858
2010.126,1.928
2010.208,3.143
2010.29,4.253
2010.375,3.01
2010.457,0.525
2010.542,-2.699
2010.627,-5.51
2010.709,-7.985
2010.794,-6.845
2010.876,-4.059
2010.956,-0.376
2011.136,3.608
2011.207,6.633
2011.29,7.789
2011.374,5.265
2011.547,-0.174
2011.626,0.62
2011.708,-2.736
2011.782,-3.281
2011.845,-0.893
2011.982,-3.573
2012.051,-3.638
2012.127,-1.948
2012.201,-0.872
2012.267,0.066
2012.459,-3.986
2012.543,-6.506
2012.628,-6.978
2012.705,-9.149
2012.886,-10.062
2012.962,-4.782
2013.047,-0.874
2013.124,-1.973
2013.305,-5.33
2013.376,-6.566
2013.458,-9.022
2013.543,-10.024
2013.795,-12.168
2013.877,-12.968
2013.962,-9.679
2014.025,-10.106
2014.211,-6.907
2014.29,-7.906
2014.375,-9.85
2014.449,-10.377
2014.627,-15.377
2014.709,-15.403
2014.794,-16.454
2014.876,-16.239
2015.062,-12.461
2015.125,-11.755
2015.207,-13.453
2015.279,-14.902
2015.333,-12.048
2015.539,-15.827
2015.626,-15.688
2015.706,-17.902
2015.977,-14.294
2016.045,-12.966
2016.122,-8.932
2016.209,-7.116
2016.385,-12.234
2016.459,-13.578
2016.541,-16.257
2016.642,-16.458
2016.91,-15.702
2016.984,-11.236
2017.058,-5.837
2017.247,-4.641
2017.316,-4.622
2017.37,-7.498
2017.444,-8.91
2018.457,-15.738
2018.523,-17.595
2018.835,-20.938
2018.89,-21.869
2018.961,-19.189
2019.038,-14.61
2019.117,-13.118
2019.207,-4.29
2019.29,-7.976
2019.374,-8.621
2019.457,-9.409
2019.541,-13.066
2019.626,-14.518
2019.708,-17.075
2019.793,-20.606
2019.875,-20.576
2019.96,-13.458
2020.045,-11.429
2020.127,-12.821
2020.209,-11.906
2020.292,-10.973
2020.376,-13.286
2020.459,-14.162
2020.543,-17.727
2020.628,-20.249
2020.71,-23.182
2020.795,-22.843
2020.877,-21.638
2020.962,-23.088
2021.047,-21.94
2021.127,-20.933
2021.209,-19.339
2021.291,-20.297
2021.376,-19.894
2021.458,-22.535
2021.543,-23.661
2021.628,-26.076
2021.71,-26.078
2021.795,-26.205
2021.877,-25.229
2021.962,-23.646
2022.047,-19.266
2022.126,-18.072
2022.208,-20.796
2022.29,-19.123
2022.375,-21.09
2022.457,-24.161
2022.542,-26.244
2022.627,-24.798
2022.709,-24.622
2022.794,-28.951
2022.876,-26.947
2022.961,-24.717
2023.046,-13.655
2023.125,-11.186
2023.207,-4.242
2023.29,-2.897
2023.374,-8.015
2023.457,-11.909
2023.541,-15.426
2023.626,-13.072
2023.708,-17.661
