mscn_sol,GSFC
mscn,1918
location,80
basin,1007
mscn_area,12373.54
lat_center,36
lon_center,-114.43298970000001
lat_span,1
lon_span,1.2371134
Solution,GSFC RL06v02 Mascons
Citation,"Loomis, B.D., Luthcke, S.B. & Sabaka, T.J. (2019) Regularization and error characterization of GRACE mascons. J Geod 93, 1381–1398. https://doi.org/10.1007/s00190-019-01252-y"
Data Portal,https://ccar.colorado.edu/grace/

year,cmwe
2002.296,0.76
2002.359,-0.598
2002.627,-3.539
2002.709,-7.419
2002.794,-5.823
2002.876,-4.715
2002.961,-2.731
2003.046,-2.278
2003.125,1.766
2003.207,2.343
2003.29,1.477
2003.361,-1.888
2003.541,-5.346
2003.626,-6.823
2003.708,-6.219
2003.793,-8.783
2003.875,-6.304
2003.96,-4.688
2004.021,-1.867
2004.13,-2.472
2004.209,-1.859
2004.292,-0.404
2004.376,-3.612
2004.459,-6.601
2004.543,-5.964
2004.628,-8.534
2004.71,-8.856
2004.795,-7.012
2004.877,-2.323
2004.962,-0.508
2005.047,7.222
2005.127,10.885
2005.209,14.339
2005.291,15.662
2005.376,12.422
2005.458,7.375
2005.543,5.282
2005.628,7.053
2005.71,1.765
2005.795,3.465
2005.877,1.428
2005.962,1.495
2006.047,3.668
2006.126,2.177
2006.208,3.265
2006.29,5.99
2006.375,3.645
2006.457,2.219
2006.542,0.023
2006.627,3.025
2006.709,-0.755
2006.794,-0.788
2006.876,-0.822
2006.961,1.436
2007.046,2.056
2007.125,1.712
2007.207,2.136
2007.29,0.796
2007.374,0.783
2007.457,-0.207
2007.541,-3.21
2007.626,-3.162
2007.708,-4.716
2007.793,-4.87
2007.875,-4.979
2007.96,-2.121
2008.045,0.236
2008.127,3.107
2008.209,3.796
2008.292,2.215
2008.376,-0.061
2008.459,-2.11
2008.543,-2.288
2008.628,-2.944
2008.71,-3.073
2008.795,-4.302
2008.877,-3.822
2008.962,-2.767
2009.047,0.836
2009.127,1.492
2009.209,1.441
2009.291,-0.621
2009.376,-0.655
2009.458,-1.005
2009.543,-3.866
2009.628,-6.354
2009.71,-7.025
2009.795,-6.557
2009.877,-7.664
2009.962,-3.693
2010.047,-1.465
2010.126,3.464
2010.208,5.784
2010.29,5.302
2010.375,3.603
2010.457,1.562
2010.542,-0.837
2010.627,-2.206
2010.709,-4.579
2010.794,-2.987
2010.876,-1.596
2010.956,1.554
2011.136,3.643
2011.207,6.023
2011.29,6.443
2011.374,4.511
2011.547,1.015
2011.626,0.733
2011.708,-2.01
2011.782,-1.916
2011.845,-0.55
2011.982,0.772
2012.051,2.045
2012.127,-0.164
2012.201,0.19
2012.267,0.734
2012.459,-2.684
2012.543,-5.002
2012.628,-4.279
2012.705,-6.143
2012.886,-6.547
2012.962,-2.831
2013.047,-1.314
2013.124,-0.495
2013.305,-3.44
2013.376,-4.86
2013.458,-7.107
2013.543,-7.493
2013.795,-7.607
2013.877,-8.784
2013.962,-5.483
2014.025,-5.964
2014.211,-4.486
2014.29,-5.199
2014.375,-7.225
2014.449,-7.376
2014.627,-11.439
2014.709,-10.495
2014.794,-11.482
2014.876,-11.1
2015.062,-8.556
2015.125,-8.404
2015.207,-8.075
2015.279,-7.992
2015.333,-8.15
2015.539,-11.043
2015.626,-10.41
2015.706,-12.099
2015.977,-8.82
2016.045,-6.686
2016.122,-5.09
2016.209,-4.787
2016.385,-8.868
2016.459,-9.531
2016.541,-11.124
2016.642,-10.851
2016.91,-10.336
2016.984,-6.147
2017.058,-2.264
2017.247,-2.73
2017.316,-1.572
2017.37,-4.637
2017.444,-5.701
2018.457,-11.966
2018.523,-13.815
2018.835,-13.714
2018.89,-14.659
2018.961,-12.84
2019.038,-8.328
2019.117,-7.596
2019.207,-1.284
2019.29,-4.254
2019.374,-4.891
2019.457,-6.235
2019.541,-8.44
2019.626,-10.677
2019.708,-10.872
2019.793,-14.189
2019.875,-13.951
2019.96,-8.098
2020.045,-5.609
2020.127,-7.05
2020.209,-6.693
2020.292,-6.489
2020.376,-8.157
2020.459,-9.533
2020.543,-12.117
2020.628,-14.258
2020.71,-16.907
2020.795,-17.448
2020.877,-15.678
2020.962,-16.816
2021.047,-16.479
2021.127,-14.888
2021.209,-14.125
2021.291,-15.576
2021.376,-14.288
2021.458,-16.438
2021.543,-16.863
2021.628,-17.426
2021.71,-18.065
2021.795,-17.599
2021.877,-17.959
2021.962,-16.834
2022.047,-13.973
2022.126,-12.157
2022.208,-16.052
2022.29,-13.797
2022.375,-15.122
2022.457,-18.008
2022.542,-19.132
2022.627,-16.999
2022.709,-17.422
2022.794,-20.468
2022.876,-18.361
2022.961,-16.901
2023.046,-9.07
2023.125,-5.259
2023.207,-3.527
2023.29,-0.66
2023.374,-5.615
2023.457,-8.769
2023.541,-11.516
2023.626,-10.406
2023.708,-12.287
